id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,renovated,basement
9183703376,225000,3,1.5,1250,7500,1,0,0,7,1250,0,1967,0,98030,47.3719,-122.215,1260,0,0
464000600,641250,3,2.5,2220,2550,3,0,2,10,2220,0,1990,0,98117,47.6963,-122.393,2200,0,0
2224079050,810000,4,3.5,3980,209523,2,0,2,9,3980,0,2006,0,98024,47.5574,-121.89,2220,0,0
6163901283,330000,4,1.5,1890,7540,1,0,0,7,1890,0,1967,0,98155,47.7534,-122.318,1890,0,0
6392003810,530000,4,1.75,1814,5000,1,0,0,7,944,870,1951,0,98115,47.684,-122.281,1290,0,1
7974200948,953007,4,3.5,3120,5086,2,0,0,9,2480,640,2008,0,98115,47.6762,-122.288,1880,0,1
2426059124,1050000,4,3.25,4160,47480,2,0,0,10,4160,0,1995,0,98072,47.7266,-122.115,3400,0,0
2115510300,246000,3,2.25,1440,10500,1,0,0,8,1130,310,1983,0,98023,47.318,-122.391,1510,0,1
2472920780,395000,4,2.5,2250,6840,2,0,0,9,2250,0,1987,0,98058,47.4398,-122.151,2480,0,0
7173700518,690000,3,1.5,2540,9520,1,0,0,8,1500,1040,1959,0,98115,47.6834,-122.306,1870,0,1
4307300520,359000,4,2.5,2160,4500,2,0,0,7,2160,0,2002,0,98056,47.4819,-122.182,2160,0,0
1823099076,495000,3,2.5,1780,47480,2,0,0,7,1780,0,1995,0,98045,47.4723,-121.707,1890,0,0
5634500036,459000,5,2.5,2650,12987,1,0,0,7,1350,1300,1979,0,98028,47.7482,-122.244,2160,0,1
3623059101,420000,3,3,2700,47050,2,0,0,9,1570,1130,1986,0,98058,47.4446,-122.104,2260,0,1
1102000270,1080000,3,2.75,3890,7216,2,0,1,8,3260,630,1967,2010,98118,47.5445,-122.266,2490,1,1
730000139,305000,2,1.5,800,2142,2,0,0,7,800,0,2006,0,98144,47.5917,-122.297,1320,0,0
1431600180,335000,5,3,2660,7700,1.5,0,0,7,1670,990,1962,0,98058,47.46,-122.174,1610,0,1
3066400750,705000,3,2.5,2500,10359,2,0,0,10,2500,0,1986,0,98074,47.6286,-122.051,2580,0,0
8624700015,640000,4,3,2940,5763,1,0,0,8,1640,1300,1955,0,98108,47.5589,-122.295,2020,0,1
3996900575,259950,2,1,770,6542,1,0,0,6,770,0,1948,0,98155,47.747,-122.301,1120,0,0
8732190380,231000,3,1.75,1220,8817,1,0,0,7,1220,0,1978,0,98023,47.3111,-122.396,2000,0,0
8563000250,522500,3,1.75,1710,9707,1,0,0,8,1710,0,1966,0,98008,47.623,-122.105,1820,0,0
9407001700,255000,2,1,960,20954,1,0,0,7,960,0,1977,0,98045,47.4485,-121.774,1240,0,0
8029500180,330000,3,2.5,2210,7557,2,0,0,9,2210,0,1989,0,98023,47.3079,-122.393,2440,0,0
8951900065,315000,3,1,1070,9497,1,0,0,7,1070,0,1955,0,98028,47.7425,-122.23,1710,0,0
723069135,499000,2,1.75,2040,114562,1,0,0,7,2040,0,1968,0,98027,47.4985,-122.092,1850,0,0
6699930440,355500,3,2.5,2600,5540,2,0,0,8,2600,0,2004,0,98038,47.3446,-122.041,2600,0,0
2768300650,453000,3,2.5,1650,1838,2,0,0,7,1270,380,1991,0,98107,47.6666,-122.367,1550,0,1
164000237,495000,4,2.5,2140,7245,2,0,0,7,2140,0,2003,0,98133,47.729,-122.35,2080,0,0
1516000055,650000,3,2.25,2150,21235,1,0,3,8,1590,560,1959,0,98166,47.4336,-122.339,2570,0,1
4037000080,416000,3,1,1110,12150,1,0,0,7,1110,0,1957,0,98008,47.6034,-122.122,1490,0,0
7853250160,520000,4,2.5,3060,7161,2,0,0,8,2860,200,2005,0,98065,47.5383,-121.879,2950,0,1
7754900280,322200,4,2.25,2010,19000,2,0,0,8,2010,0,1975,0,98042,47.3734,-122.119,1950,0,0
2781270550,219000,2,2,1310,2550,2,0,0,6,1310,0,2004,0,98038,47.3496,-122.022,1310,0,0
2473370890,289000,4,2.25,1930,8925,1,0,0,8,1930,0,1974,0,98058,47.4501,-122.128,1930,0,0
6136900045,412000,3,1,1660,6992,1,0,0,7,1260,400,1952,0,98155,47.7576,-122.318,1390,0,1
3959400645,605000,5,3,3670,9600,1,0,1,8,1980,1690,1955,0,98108,47.5648,-122.316,1730,0,1
1924059248,870000,4,3,4500,21780,2,0,2,9,3040,1460,1980,0,98040,47.5581,-122.213,3540,0,1
3421069044,390000,3,1.75,2092,250905,1,0,0,7,2092,0,1981,0,98022,47.2664,-122.027,2092,0,0
2424059170,9e+05,5,6,7120,40806,2,0,4,12,5480,1640,2007,0,98006,47.5451,-122.114,3440,0,1
7427800080,626000,3,2.25,1810,5107,2,0,0,8,1810,0,1989,0,98033,47.6882,-122.171,1760,0,0
1795920310,690000,4,3.75,3210,7054,2,0,0,8,3210,0,1985,0,98052,47.7268,-122.103,2350,0,0
1138020200,435000,4,1.5,1510,6460,1,0,0,7,1070,440,1970,0,98034,47.7121,-122.214,1450,0,1
